      8312   u910134 
      8203   u910134 
      8291   u910134 
      8454   u910134 
      8419   u910134 
      1391   u910134 
      1395   u910134 
      1342   u910134 
      1339   u910134 
      1315   u910134 
       280   u910134 
       139   u910134 
       142   u910134 
       135   u910134 
       135   u910134 
       135   u910134 
       330   u910134 
       135   u910134 
       136   u910134 
       141   u910134 
       138   u910134 
      8134   u910134 
      1400   u910134 
      1362   u910134 
      1575   u910134 
      1355   u910134 
      8192   u910134 
      1401   u910134 
      1398   u910134 
      1401   u910134 
      1360   u910134 
      1404   u910134 
         2   u910134 
      8576   u910134 
      8684   u910134 
      8685   u910134 
      8795   u910134 
      8829   u910134 
      1389   u910134 
      1392   u910134 
      1389   u910134 
      1394   u910134 
      1389   u910134 
         2   u910134 
         2   u910134 
         2   u910134 
       332   u910134 
       140   u910134 
       140   u910134 
       140   u910134 
       140   u910134 
      8216   u910134 
      1365   u910134 
      1343   u910134 
      1492   u910134 
      8602   u910134 
      1417   u910134 
      1375   u910134 
      1371   u910134 
      1381   u910134 
         2   u910134 
       102   u910134 
        76   u910134 
      1417   u910134 
       324   u910134 
       133   u910134 
       129   u910134 
       134   u910134 
       157   u910134 
      4304   u910134 
      1358   u910134 
      1326   u910134 
      1374   u910134 
      1334   u910134 
       132   u910134 
       266   u910134 
       160   u910134 
       756   u910134 
       736   u910134 
       710   u910134 
       780   u910134 
       779   u910134 
       762   u910134 
       732   u910134 
       744   u910134 
       735   u910134 
       133   u910134 
       126   u910134 
       135   u910134 
       128   u910134 
       751   u910134 
       752   u910134 
       741   u910134 
       755   u910134 
       732   u910134 
       754   u910134 
       751   u910134 
       758   u910134 
       777   u910134 
       765   u910134 
       132   u910134 
       130   u910134 
       122   u910134 
       130   u910134 
       122   u910134 
       133   u910134 
       129   u910134 
       122   u910134 
       128   u910134 
       124   u910134 
    119600   u910134 
    127800   u910134 
    114000   u910134 
    120200   u910134 
    121200   u910134 
    112000   u910134 
    114800   u910134 
    116800   u910134 
    123200   u910134 
    111800   u910134 
    118200   u910134 
   1164200   u910134 
   1230000   u910134 
   1116000   u910134 
   1185600   u910134 
   1207400   u910134 
   1209000   u910134 
   1114400   u910134 
   1167600   u910134 
   1232600   u910134 
   1112600   u910134 
   1183200   u910134 
   6949000   u910134 
   7247000   u910134 
   6732000   u910134 
   6714000   u910134 
   6433000   u910134 
   6774600   u910134 
   6603800   u910134 
   6938000   u910134 
   6938000   u910134 
   6715400   u910134 
   7912800   u910134 
